time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
0,2020-04-01 16:15,36941,35606,1335,34035,26,1790,39,4291,8.608949,608,32,4.785008,11,4.3407574,1428,8837,109.08193,3,415,15118,320,2.443511,971,697,103,4003,3616,3581,3181,10525,24558,731,22278,107,115,693,440,190,2280,70,661,11255,11023,24,0.6651959,13752,4534,4551,1080,550,303,246,31,69
1,2020-04-01 16:16,36996,34853,2143,32264,71,3093,40,5952,6.215726,675,20,4.799759,13,4.3831806,1854,6932,83.88943,3,460,13974,292,2.647488,1139,1147,88,3883,4009,3473,3586,9629,24731,927,22110,209,212,851,804,350,2621,141,786,10226,11884,24,0.7109958,13164,5469,3994,1378,721,293,294,171,27
2,2020-04-01 16:17,33241,31332,1909,30585,25,1322,39,1412,23.541784,587,32,4.799119,13,4.436359,691,10832,205.39073,7,67,9625,288,3.4536104,1083,1169,141,3867,4114,3464,3725,4878,25796,898,23034,177,145,740,838,315,2762,142,756,11863,11171,24,0.7679071,14897,4986,4054,1152,556,378,352,122,42
3,2020-04-01 16:18,111029,109681,1348,108212,16,1750,39,83592,1.3282251,652,42,4.4981627,11,4.1649966,19308,85188,23.73498,7,8002,90641,319,1.2249314,656,811,42,3441,3412,3145,3112,86168,23232,494,20747,57,67,455,586,162,2485,66,428,10602,10145,14,0.20309292,13250,4083,4014,1003,525,361,257,71,63
4,2020-04-01 16:19,27326,26104,1222,24994,0,1334,39,1860,14.691398,575,32,4.9277887,11,4.4890437,787,7162,150.28717,3,218,8138,311,3.3578274,683,762,103,3233,2870,2811,2565,4225,21460,600,19095,132,118,491,579,196,2365,70,530,9634,9461,24,0.7287931,12216,4174,3711,1072,290,189,198,53,56
5,2020-04-01 16:20,32720,30991,1729,29433,0,1931,40,1840,17.782608,694,32,4.786906,10,4.4066343,846,11221,163.42671,2,50,9716,292,3.367641,1279,1314,113,3741,4359,3358,3683,2034,27820,1160,24873,145,142,995,1076,273,2947,124,1036,12904,11969,24,0.7500306,16168,6266,4409,1122,389,173,210,52,44
6,2020-04-01 16:21,23799,21775,2024,20292,50,1946,39,2129,11.178488,661,32,4.9603214,12,4.4299426,916,4551,107.99017,2,193,8797,289,2.7053542,1034,1409,128,2826,2688,2288,2330,3113,17920,888,15531,151,151,850,1169,323,2389,109,779,6854,8677,23,0.76604056,9544,4495,3065,949,292,150,93,28,32
7,2020-04-01 16:22,30161,28460,1701,27556,7,1347,39,1455,20.72921,516,32,5.22312,9,4.5404077,743,9642,176.69313,1,33,9641,312,3.1284099,1209,1202,99,4045,4060,3788,3503,2396,25052,1058,21937,140,165,942,979,302,3115,124,934,10624,11313,17,0.84712046,14053,5621,3730,1285,509,316,212,85,50
8,2020-04-01 16:23,27665,26523,1142,25635,2,1101,39,2623,10.547084,581,32,5.0488634,9,4.453644,1344,8541,88.70982,2,378,9593,272,2.8838737,815,718,85,3549,3354,3148,3065,2583,23310,731,20555,127,139,693,554,239,2755,107,624,10511,10044,24,0.7980842,13567,4612,3599,1112,414,257,212,36,78
9,2020-04-01 16:24,28597,27359,1238,25563,7,2131,40,2190,13.057991,659,32,5.2354984,12,4.559414,978,6389,129.28426,3,157,11033,298,2.5919514,781,785,89,3413,2840,3034,2715,4751,22032,709,19023,107,120,695,619,248,3009,108,601,8960,10063,23,0.7796272,12238,5089,3014,1010,425,262,346,137,105
