time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
0,2020-07-21 07:00,103379,100198,3181,86578,0,15299,31,11192,9.236866,662,24,5.4861975,15,4.7082376,1752,64339,274.34818,6,782,28427,136,3.6366482,926,887,75,23065,23074,22335,22411,13247,88121,760,62780,129,130,666,598,198,25341,118,642,13760,49020,20,0.9612877,39287,21053,21824,2153,733,1631,866,218,472
1,2020-07-21 07:01,264783,262676,2107,238261,12,24684,32,16473,16.073757,847,24,4.9113812,14,4.367807,3408,112519,337.03168,6,2120,36924,123,7.171027,1394,1347,150,48511,46571,47257,44904,19951,241735,1078,191605,327,195,967,1066,356,50130,243,835,83012,108593,20,0.8041377,133583,50948,42891,5052,3013,3050,1431,436,1086
2,2020-07-21 07:02,154953,151124,3829,133844,8,17717,30,9727,15.930194,632,24,5.5362616,14,4.7053413,1612,85572,442.37408,4,699,35487,142,4.3664722,2303,2274,286,37486,32815,36263,31801,12481,136748,1734,94179,794,871,1569,1741,1147,42569,669,1065,19407,74772,20,1.0356044,62451,31469,30095,4433,4368,2256,1015,397,994
3,2020-07-21 07:03,210219,202172,8047,184369,1,20642,31,13356,15.739668,594,24,5.6332035,12,4.5646133,2862,95368,327.1768,3,899,38969,96,5.394519,3954,4110,1184,45137,47954,43758,46207,17195,182122,3546,129017,1681,1924,1825,2632,2838,53105,1427,2119,33079,95938,20,1.133575,87680,35542,31405,7761,12813,5852,1334,643,1434
4,2020-07-21 07:04,318622,316260,2362,286621,58,30555,30,42499,7.4971647,573,24,4.908904,12,4.4633274,8019,115195,176.59671,4,8983,57894,88,5.503541,921,1555,309,48977,58003,47401,56130,31302,284364,776,246309,123,411,661,940,480,38055,153,623,125535,120774,20,0.8022729,163905,48602,41994,19280,3996,3122,1367,856,750
5,2020-07-21 07:05,364312,356572,7740,328375,34,29489,30,27823,13.093915,484,25,4.921811,12,4.2883487,5888,150516,260.57712,3,1933,55916,85,6.5153446,6322,5256,1581,63887,67798,60854,65819,7392,342984,5916,285874,1556,2029,4293,3363,2358,57110,2343,3573,137215,148659,20,0.89234227,197257,61499,56582,10133,12432,5424,1879,1301,868
6,2020-07-21 07:06,162519,157596,4923,144380,9,14769,30,16000,10.157437,664,24,5.2230515,12,4.4884577,3631,68012,196.7458,3,203,41981,102,3.8712513,2909,3764,571,34258,32441,33324,30781,4743,150506,2700,114395,730,385,2678,2853,597,36111,895,1805,41619,72776,20,0.9888198,78994,31279,26530,4944,5328,2923,860,659,593
7,2020-07-21 07:07,208448,204779,3669,182004,4,24096,31,11347,18.370317,676,28,5.1235623,11,4.504007,2836,115836,327.31064,2,91,34071,104,6.1180477,1671,2423,347,45207,47495,43281,45846,4367,199519,1465,147121,300,330,1249,1838,468,52398,325,1140,45999,101122,20,0.95804226,99023,46756,41671,4421,1814,3230,1527,467,640
8,2020-07-21 07:08,195564,192553,3011,172582,5,20192,29,17536,11.152144,430,28,4.8320255,10,4.296765,4561,79608,181.62749,3,1331,41780,112,4.6808043,2383,2023,145,35432,37432,33871,36500,8639,181974,2068,147865,532,453,1670,1708,545,34109,514,1554,66445,81420,20,0.8227639,101555,36946,34278,4484,1783,1833,1149,325,636
9,2020-07-21 07:09,275005,268267,6738,246781,12,23118,31,33634,8.176399,515,45,5.2526436,10,4.5863338,7100,83789,174.22324,2,3021,60873,78,4.5176845,4913,5010,859,58614,51734,57341,50175,14578,248910,4629,216734,1444,1465,3838,4048,1594,32176,2310,2319,101744,114990,20,1.0430537,136031,36689,32888,26619,13343,3961,1281,517,1317
