time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
0,2021-10-04 06:40,117727,113443,4284,101461,13,12178,45,15734,7.4823313,5012,38,4.1838546,12,3.9064994,3032,34127,146.44492,3,1186,27046,392,4.3528433,5480,2666,254,9153,10488,8620,9611,20273,88176,3925,83085,749,694,4762,2307,1132,5091,390,3535,59664,23421,15,0.46597636,66817,12358,7303,2434,1057,422,202,664,109
1,2021-10-04 06:41,88143,83312,4831,71577,14,12078,46,1514,58.218628,4592,19,4.0684056,11,3.8256915,697,21188,459.49496,2,76,8064,377,10.930431,2944,3217,290,8189,7786,7743,7296,3906,76990,2733,71633,650,668,2591,2747,1086,5357,421,2312,51555,20078,16,0.5274043,58394,10973,5971,1904,705,268,122,610,48
2,2021-10-04 06:42,97766,93556,4210,81866,25,11999,45,2234,43.762756,4915,22,4.2435117,11,3.948138,851,23263,435.65805,3,175,14154,395,6.9073052,2756,2859,267,9800,9497,8930,8468,8364,82684,2479,76878,726,701,2314,2334,1103,5806,391,2088,52113,24765,18,0.5829327,59256,13983,6414,1739,817,782,517,673,274
3,2021-10-04 06:43,130344,121821,8523,110193,42,11735,45,16164,8.063846,2906,22,4.0623455,11,3.6872542,2519,28635,178.5776,3,1168,40483,256,3.2197218,3149,5646,201,10250,8552,8856,7258,23327,97107,2714,89503,592,707,2847,4914,1115,7604,250,2464,66277,23226,14,0.40348616,74997,11188,7728,3187,839,604,400,382,103
4,2021-10-04 06:44,133985,129312,4673,115869,80,13715,44,19472,6.880906,4566,22,3.9824069,11,3.6755445,2782,32067,171.37851,3,864,41783,358,3.206687,2256,2780,193,8926,9443,7822,9091,23792,104027,2022,94668,498,588,1948,2347,1130,9359,236,1786,71342,23326,18,0.344056,81863,13026,6806,2370,759,298,162,323,66
5,2021-10-04 06:45,102341,98747,3594,83819,79,15074,45,12616,8.112,4811,37,3.9169493,11,3.746281,2549,21173,145.50647,3,319,23371,380,4.378974,3232,2507,226,7901,20269,7532,19517,1501,94038,3096,86457,717,697,2763,2255,1063,7581,339,2757,53322,33135,18,0.62997234,62476,17867,11333,2976,896,444,139,520,72
6,2021-10-04 06:46,134151,130821,3330,115598,51,15745,43,18093,7.414525,4861,22,3.784033,10,3.529701,3086,34072,150.37492,2,282,39504,398,3.395884,5593,2452,170,9279,9885,8909,9341,3077,122186,5520,106996,1487,541,5056,1972,843,15190,794,4726,83683,23313,17,0.32209972,102840,14478,6853,1810,558,278,126,182,47
7,2021-10-04 06:47,113572,110221,3351,95529,13,14924,43,15298,7.423977,4717,23,3.8257682,10,3.5372026,2573,23725,151.95259,2,362,28449,384,3.9921262,2126,2391,210,6612,6488,6043,6295,9159,99133,1915,77711,433,516,1715,2067,763,21422,220,1695,60676,17035,16,0.26962632,83239,10620,4461,1496,624,222,130,94,65
8,2021-10-04 06:48,161370,155874,5496,138834,11,17495,44,42363,3.8092203,3608,38,4.30857,12,3.945135,5546,36160,111.216194,3,1078,59351,310,2.7189095,3917,3875,434,20106,11787,18739,11092,32010,120374,3599,107333,794,788,3410,3311,1194,13041,382,3217,68073,39260,18,0.47800708,82904,20673,13651,3811,1233,341,172,555,173
9,2021-10-04 06:49,123701,113487,10214,102132,84,12085,46,13050,9.479004,2807,24,4.34196,11,4.038207,2801,31002,165.00642,3,307,29281,274,4.2246165,3366,7976,738,14691,13673,13694,13012,6751,103723,3276,94438,866,1477,2640,7006,1885,9285,507,2769,60296,34142,19,0.6000113,71275,17934,10328,3677,1334,678,190,652,183
10,2021-10-04 06:50,113259,108259,5000,94303,89,14503,45,19837,5.709482,4876,37,4.0893135,11,3.8194053,3338,23985,124.8577,2,313,29646,372,3.8203804,4481,3673,276,9966,16717,9396,14846,12407,91647,4143,83866,690,684,3422,3207,1051,7781,445,3698,53012,30854,19,0.70347613,62398,16220,9736,2926,1405,557,313,523,154
11,2021-10-04 06:51,185853,176330,9523,163400,2,14472,45,19462,9.549533,4786,38,5.75978,12,4.204707,3575,78609,209.36923,4,230,38085,385,4.879953,6095,7140,837,33199,22534,23776,14225,13032,158029,5686,134075,1170,1120,4974,5688,1557,23954,910,4776,74087,59988,21,0.8840912,101127,20412,22541,7088,2043,6950,595,1034,90
12,2021-10-04 06:52,107517,102798,4719,90256,49,13161,44,2295,46.848366,4971,22,5.153184,15,4.0346117,824,26367,506.98785,2,32,17708,397,6.0716624,3166,3325,402,13875,12713,10599,10024,5284,94666,2925,86269,673,719,2628,2772,1076,8397,460,2465,54050,32219,20,0.8699089,63921,12412,11532,3107,998,2253,573,835,73
13,2021-10-04 06:53,143584,136084,7500,124586,7,12512,45,2675,53.67626,4744,24,5.5627184,10,4.098432,1061,55726,529.91327,2,47,21816,370,6.5815916,4903,5602,554,20102,19590,13353,13849,6935,124727,4405,111564,913,970,4149,4776,1417,13163,693,3712,66118,45446,20,0.8952321,81766,17463,15787,4788,1572,3786,697,1008,98
14,2021-10-04 06:54,99883,95897,3986,84957,15,11348,44,2463,40.55339,3241,23,4.1139035,13,3.7968445,838,28415,436.9236,2,19,15143,260,6.595985,4489,2916,248,8798,9300,7992,8452,4396,87177,4413,81477,579,578,4120,2602,905,5700,762,3651,58838,22639,19,0.5723196,67386,12536,5942,2367,845,458,298,634,73
15,2021-10-04 06:55,102408,97808,4600,86875,51,11335,45,1583,64.69236,2932,24,4.3598785,13,4.0968223,794,26610,507.44962,1,10,15193,252,6.740473,5235,3411,331,10026,12462,9318,11341,2055,90668,4663,84950,787,665,4621,2916,1039,5718,470,4193,55373,29577,21,0.77243966,62825,15097,9081,3568,1672,568,373,626,111
16,2021-10-04 06:56,103242,94135,9107,82300,10,12342,43,2444,42.243046,5211,24,4.158379,15,3.923291,871,24965,427.02295,2,30,15719,382,6.567975,5082,7546,826,11315,11235,10484,10738,1331,87940,4968,82086,843,995,4323,6565,1343,5854,752,4216,56593,25493,21,0.605674,64503,14092,7922,2677,1045,847,205,737,80
17,2021-10-04 06:57,106003,100570,5433,84010,12,17602,44,2632,40.274696,4935,20,4.1599483,13,3.9234762,833,24099,479.17407,2,26,16378,392,6.47228,3504,4172,601,12184,10962,11590,10292,3267,93940,3361,86757,746,788,2785,3453,1120,7183,536,2825,57876,28881,15,0.57552147,66969,15515,8993,2889,940,399,366,659,86
18,2021-10-04 06:58,86046,82548,3498,69222,7,13691,45,1525,56.423607,5013,21,4.2263775,13,3.9704173,724,18521,455.37018,2,13,10630,399,8.094638,2647,2505,253,8741,9011,8556,8329,3112,76953,2461,70897,539,526,2218,2160,829,6056,367,2094,47971,22926,18,0.6217024,55218,12248,6725,2043,850,398,283,892,127
19,2021-10-04 06:59,92795,88196,4599,78948,9,9936,47,1360,68.23162,2779,26,4.912309,13,4.5223594,837,23719,481.01074,2,57,11607,280,7.994745,2744,3178,271,11035,9423,9974,9305,5284,80559,2587,74754,555,638,2279,2664,1030,5805,409,2178,47703,27051,20,0.75937283,54794,12086,7358,4192,1655,443,306,1163,292
20,2021-10-04 07:00,109481,103797,5684,90795,6,13761,46,3198,34.234207,3723,23,4.2414618,14,4.020107,1136,28990,371.02817,3,130,16533,314,6.6219683,7706,4323,365,12183,11778,11346,10920,3691,92556,7476,86961,1915,833,6214,3863,1205,5595,1249,6227,59389,27572,19,0.64617604,69331,14422,7680,3668,2099,828,343,677,193
21,2021-10-04 07:01,88776,84584,4192,69664,106,15221,45,1807,49.128944,4943,21,4.0357394,14,3.8055542,807,22511,401.3606,3,23,8540,376,10.395316,2747,3204,290,8724,8885,8290,8265,1716,80217,2675,74820,551,535,2401,2819,892,5397,388,2287,53597,21223,15,0.5616045,60335,11551,5929,2151,849,367,336,676,59
22,2021-10-04 07:02,98484,94275,4209,80161,40,14358,44,1400,70.34571,5143,21,4.522673,13,4.0890584,778,23505,497.38174,1,10,10788,398,9.129032,3564,3061,482,11131,11402,9866,11159,1632,89208,3393,82710,768,650,2932,2466,1019,6498,666,2727,54269,28441,18,0.7580724,62504,13864,7708,3282,1342,814,670,1087,253
23,2021-10-04 07:03,127332,117347,9985,102809,6,15502,47,4251,29.953423,4939,27,4.3299017,13,4.0087094,1126,25420,421.86414,2,116,29859,387,4.264443,4694,6804,550,15187,14058,14724,12512,10361,102659,4507,95634,970,2366,4084,6059,2814,7025,512,3995,61321,34313,24,0.7217039,70267,16937,9805,3458,1784,1125,726,1110,515
24,2021-10-04 07:04,143488,138330,5158,123506,64,15277,45,5258,27.289463,4767,22,4.0741415,11,3.811516,1284,32473,412.40576,3,123,42827,352,3.3504097,3476,3674,311,13146,15981,11879,14334,26705,108406,3175,99920,770,800,2622,3023,1227,8486,594,2581,63707,36213,15,0.5983427,73675,16332,11247,5436,1756,679,494,752,390
25,2021-10-04 07:05,97893,93850,4043,81256,12,13208,48,4315,22.686674,2844,19,3.8935854,11,3.6270857,1078,21314,318.27365,2,30,23438,252,4.176679,3316,2805,563,11133,10001,10158,9535,1238,89468,3135,76300,593,724,3109,1915,1066,13168,519,2616,50243,26057,16,0.61134094,64935,13001,9087,2091,1399,367,240,679,133
26,2021-10-04 07:06,109361,104908,4453,89168,7,16547,46,4956,22.066383,3827,22,3.8050578,11,3.5814238,1264,25318,300.01978,3,87,23744,290,4.6058373,3463,3177,595,13560,11281,12634,10571,1198,100299,3392,83998,723,849,3103,2332,1224,16301,522,2870,54894,29104,17,0.5862876,72926,15156,9966,2240,1263,500,218,616,67
27,2021-10-04 07:07,105668,101181,4487,87239,22,14409,46,4568,23.132225,3517,19,3.651812,11,3.4512408,964,26071,364.39212,2,47,23458,265,4.5045614,3334,3202,809,10149,11796,9699,11145,2160,95732,3256,79034,851,828,2808,2252,1240,16698,833,2423,53016,26018,16,0.5397566,71237,14040,8854,2046,864,311,243,699,50
28,2021-10-04 07:08,112898,109370,3528,98424,62,11132,47,4629,24.389284,3441,20,3.8186889,14,3.579958,1060,29260,370.46698,1,15,31367,260,3.5992603,4829,2542,349,11943,12833,9343,11985,1862,102791,4722,91161,682,575,6365,2077,874,11630,971,3751,60003,31158,16,0.6069904,74564,17700,8161,2770,1828,839,220,627,100
29,2021-10-04 07:09,107570,103426,4144,92635,5,11030,47,2390,45.00837,3782,21,4.1864233,15,3.9030805,744,30092,543.9866,2,10,24135,275,4.4570127,2749,3034,316,17538,11004,11751,9032,2865,97958,2692,92499,532,674,2658,2562,964,5459,456,2236,52984,39515,17,0.7707032,59962,21718,10306,2969,2844,1304,242,581,79
30,2021-10-04 07:10,71946,68656,3290,59885,7,9053,45,1377,52.248367,2767,22,4.0100646,13,3.7653372,634,21974,409.71924,2,4,8203,260,8.770694,2587,2441,264,6366,6953,5867,6504,550,65542,2562,60512,559,553,2200,2111,826,5030,387,2175,42767,17745,20,0.57985157,49054,10063,4969,1616,834,273,125,477,56
31,2021-10-04 07:11,136712,127335,9377,117045,6,10972,43,2821,48.462246,3577,22,4.1150274,15,3.8763185,856,31353,579.6425,2,68,32351,260,4.2258973,4936,7759,819,16184,20698,14683,14634,3519,118916,4889,112725,1170,1192,4619,6889,1582,6191,544,4345,63905,48820,15,0.71974665,73113,27267,12517,5936,2702,875,145,498,59
