time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
0,2021-09-24 11:50,61845,57146,4699,53131,55,4335,62,3898,15.8658285,2776,31,5.160291,11,4.6600814,1468,20858,182.81062,4,549,17464,353,3.541285,3574,2512,516,7739,9265,7326,8597,11336,43819,2488,32311,396,197,1735,1152,604,11508,824,1664,8472,23839,18,0.89485,21017,11802,6624,3483,1288,514,233,556,193
1,2021-09-24 11:51,52914,49845,3069,45925,38,4203,62,4913,10.770202,2600,22,4.938068,11,4.3690844,1275,15162,172.09882,2,237,16295,385,3.2472537,1614,1911,742,7460,7034,6951,6803,8747,40059,1419,29190,204,306,1124,942,583,10869,564,855,7866,21324,17,0.8454284,19424,12620,4509,2625,724,321,227,444,120
2,2021-09-24 11:52,64247,60395,3852,55336,30,5532,65,4926,13.042428,2305,31,4.912377,16,4.5004883,1373,22506,199.85143,2,299,17252,342,3.724032,2708,2257,646,10563,10152,10035,9807,8979,49568,2072,35781,623,334,1278,1268,735,13787,1013,1059,7319,28462,18,0.88611144,22236,15701,7724,3424,1091,417,208,307,124
3,2021-09-24 11:53,69620,66080,3540,59259,16,7149,63,15570,4.4714193,2748,33,4.8154964,13,4.487954,1497,16977,199.16232,3,820,26941,406,2.5841653,1736,2370,664,10626,10151,10353,9887,15287,49368,1587,36368,438,671,1508,1500,859,13000,931,656,7249,29119,18,0.8635737,21234,15724,5811,5769,853,410,188,419,108
4,2021-09-24 11:54,72359,69278,3081,63022,30,6620,63,10831,6.6807313,2446,30,4.835503,12,4.357415,1603,22784,189.6076,3,515,24653,360,2.9350991,1782,1854,226,10695,8818,10197,8339,14123,53753,1542,38154,643,549,973,1365,847,15599,759,783,8213,29941,17,0.7901021,24673,18769,6472,2758,760,301,215,451,131
5,2021-09-24 11:55,64166,58800,5366,53810,62,5294,62,3974,16.146452,2518,32,5.077177,13,4.4305954,1302,21487,201.51228,2,105,15208,356,4.219227,3457,4103,1185,11014,11547,10317,11027,2293,53198,3335,37031,843,814,2160,2697,1115,16167,1169,2166,8064,28967,29,1.0131845,25584,17126,7121,3191,1224,639,260,272,185
6,2021-09-24 11:56,62112,58903,3209,54126,23,5033,64,4077,15.234732,2587,32,4.990374,12,4.4651036,1223,21773,216.23386,2,40,15024,405,4.1341853,2503,2323,660,11555,11666,11047,11149,2805,53750,2328,38115,873,480,1387,1492,731,15635,1235,1093,7654,30461,30,1.0626932,24669,16918,7130,3986,1210,501,244,482,117
7,2021-09-24 11:57,63008,59933,3075,53793,11,6410,65,9080,6.939207,2852,22,4.84763,11,4.4307475,1478,20782,180.62381,3,54,18345,400,3.4346144,1884,2034,526,10119,14112,9668,13061,2781,55448,1786,38267,392,378,1118,1351,861,17181,843,943,7748,30519,19,1.0760856,25954,15701,6429,5884,1126,427,282,519,170
8,2021-09-24 11:58,58672,55682,2990,50439,7,5464,62,7337,7.996729,1740,22,4.7127438,12,4.27499,1418,13788,168.65797,4,163,19238,212,3.0497973,2212,1867,300,9309,8682,8633,8024,7230,46400,2026,33250,415,680,1305,1343,963,13150,1195,831,8269,24981,21,0.95081127,22725,13094,6391,3106,829,448,437,542,139
9,2021-09-24 11:59,71808,68256,3552,62437,25,6019,63,12199,5.886384,2231,23,4.978859,12,4.565474,1591,18563,196.5971,4,130,23996,269,2.9924986,1752,2131,684,14178,11970,13265,11646,5478,61372,1661,42419,659,811,1468,1288,1075,18953,950,711,8118,34301,30,1.007701,28141,17427,7278,7245,897,383,437,511,151
